,Random Forest,XGBoost,Gradient Boosting,SVR,Neural Network,LSTM,avg
Return_Std7,0.6247369065728617,0.6072576,0.6074391537993032,0.14767257897257774,0.5276326789860086,0.0008649525004220676,0.4192673125716954
Close_Lag3,0.004724358264621748,0.0017908113,0.014515362630128764,0.012195155939536073,0.09063304430867149,0.0014377103956383782,0.020882740474387457
MA30,0.008913811207373524,0.016966052,0.030038562762370366,0.012932335875185337,0.04850498217257252,0.0002475991425223344,0.019600557252234366
Close,0.008352116665775676,0.0057957885,0.01141380744706858,0.01335533454635036,0.06067477833458062,0.0005796035006800489,0.016695238163335353
Price_Range,0.00042217287251808454,0.0010389853,0.00788101337759341,0.02503262040312284,0.0563022424123718,0.0032392274863194833,0.0156527103131353
Open,0.0026144116716992115,0.03649997,0.0010215106392572977,0.014199640206709224,0.038367495064516546,0.0008278119806968797,0.015588473204019161
Close_Lag7,0.006773874103097441,0.009200621,0.01593072316090248,0.02635860076994617,0.019921552695981212,0.0011985839403074628,0.013230659344422989
Close_Lag2,0.004477380791967803,0.0055542476,0.018177505408950363,0.014430282438230772,0.03198199672079112,0.0009502581705770065,0.012595278529673492
MA7,0.002241326833382946,0.00036511073,0.0037409789502750065,0.014009837454987682,0.02953286883136423,0.000608992264451109,0.008416519176643036
Low,0.0031791522302519917,0.01111713,0.0027504752895846345,0.011961720157132287,0.01760531321026062,0.0004252300464673551,0.007839836753388984
Volatility_30d,0.0003949342253394888,0.0018317844,7.48504431628599e-05,0.007879614503246018,0.03556269142902783,0.0004945276984487797,0.00770640044632703
Tweet_Count_Lag7,0.0007908283176146105,0.0012438698,0.00021782682010337007,0.0048655360274968504,0.035720499417649994,0.0009266850999252135,0.007294207576138932
High,0.0027493611524627534,0.00090124214,0.004719078978316944,0.010005682482160579,0.011342737486553655,0.00035492032794105663,0.005012170427243155
Tweet_Positive_Count_Lag1,0.00043549136569977036,0.00016958806,5.967808109251854e-05,0.007175645645222419,0.02089560338081367,0.000457467098883683,0.004865578939239865
Volume,0.0005009646103407316,0.0007461505,0.0008584449562499145,0.0016314070841375614,0.023793185427913047,0.0010705862596263782,0.0047667898065566735
Tweet_Avg_Sentiment,0.00045731697854573433,0.0011525359,0.0015104843871047275,0.010701442619582375,0.0138317873099209,0.0007251296011455424,0.004729782799462145
Tweet_Avg_Sentiment_Lag3,0.0019246208332427174,0.004820665,0.007745803570172447,0.0061194205938444905,0.006519375469930116,0.0009567518598101891,0.004681106200989097
Tweet_Positive_Count_Lag7,0.00024760046395177966,0.0002950137,0.0001615621597230712,0.0029694021685698923,0.022939964946357333,0.0007208568117658143,0.004555733377258772
Close_Lag1,0.0026636722207331763,0.0,0.002394852002000591,0.010346326878356925,0.01091396678758433,0.00039925825909112366,0.004453012691294358
Tweet_Positive_Count_Lag2,0.00037147324298112045,7.5987635e-05,0.0002152910389718042,0.005172371398398665,0.018999690004279632,0.0004173510260981514,0.004208694057583712
Tweet_Count,0.0012851293695396635,0.0030468865,0.0031835173610507803,0.004732830620142991,0.01119165066051025,0.001209980246488295,0.004108332464584242
Tweet_Avg_Sentiment_Lag1,0.0010207947599139972,0.002167914,0.00317143608525113,0.006976271430623698,0.009772131828967032,0.0005039417590367729,0.0039354149877551745
Tweet_Neutral_Count_Lag7,0.00016425388918077098,0.00030307696,0.00020818624066178446,0.004509250725024696,0.015392018185225058,0.0007810223903752099,0.003559634731497355
Tweet_Avg_Sentiment_Lag2,0.00031632102091751424,0.0011876456,0.0010076733737349006,0.0103968659879476,0.005248343470503336,0.0006968867161775417,0.003142289361110712
Daily_Return_Lag1,0.000244284735308424,0.0005035999,0.0017276663294636231,0.006719352050465492,0.008329321498798047,0.0008969307414775828,0.0030701925386751806
Tweet_Count_Lag2,0.0008029141137044907,0.0024226897,0.0020155711900936395,0.00357682567321371,0.006738802395329305,0.0009299759797822843,0.002747796507528671
Tweet_Positive_Count_Lag3,0.00018101091225792404,5.3988548e-05,0.00021335580448381865,0.007265101223501881,0.006764726224441275,0.0018685050483200894,0.0027244479601231234
Daily_Return_Lag2,0.000426561354982178,0.000900309,0.0003118180158413058,0.00728387806523765,0.006257323689046463,0.0010426858005335917,0.0027037626557755035
Tweet_Neutral_Count,0.000245072462725631,0.0011940558,0.00014258500252374362,0.003994651995884628,0.008431712263214807,0.0009676839856599074,0.002495960247376309
Daily_Return,0.0003446026494741514,0.0021298393,0.0010476981222433525,0.006092309707827141,0.004373303933771829,0.0008065862791431842,0.00246572332667356
Daily_Return_Lag3,0.00022161455174324272,0.000507311,0.0006214591679950692,0.006611665397773402,0.00568201762446072,0.0008551971718564963,0.0024165441560339515
Tweet_Positive_Count,0.0003629707234697902,0.00017794945,0.0002855468900618023,0.004165406293537948,0.008457377509631703,0.0007217527196090103,0.0023618339308347424
Tweet_Avg_Sentiment_Lag7,0.0005128976790908298,0.0003445305,0.0009304652034857062,0.00645102262255753,0.0043650715059107125,0.000566173415372923,0.0021950268218467075
Tweet_Negative_Count_Lag3,0.0006517744676061463,0.00021510493,0.0013595254003914913,0.004251320529120789,0.006176968397875725,0.0004125828932440186,0.0021778794358080895
Tweet_Negative_Count_Lag1,0.0002312243583981167,0.00059892057,0.00043718759243547374,0.004861912246985489,0.005916286000852188,0.0006991946136303434,0.0021241208966214066
Tweet_Negative_Count,0.00029957052238689343,0.00018980089,2.4957319095683316e-05,0.007561607683805729,0.0026762065108604303,0.0011434603865098738,0.001982600552486112
Tweet_Neutral_Count_Lag1,0.00040221782329709935,8.964588e-05,0.0003184414443806463,0.003642847931163508,0.0065451430608755145,0.0006269310855004555,0.001937537870954088
Price_Range_Pct,0.0004331439395380275,0.00021191029,0.0012908704718231812,0.003737497733128267,0.004464257726020373,0.0014808395849866894,0.0019364199569915266
Tweet_Count_Lag3,0.0010053688089886519,0.0004654752,0.0005853218740608639,0.002839723255780934,0.005666634201758795,0.0009378600297247874,0.0019167305612883053
Tweet_Negative_Count_Lag2,0.00012109200461290407,0.00038245897,3.0048494952860243e-05,0.00813646570338587,0.0018471977250367633,0.0007131821554562423,0.0018717408415340607
Tweet_Negative_Count_Lag7,0.0002127347843009955,0.00015605475,5.999473761754031e-05,0.001603139934326254,0.006776697905628153,0.0008635973189429784,0.0016120365723794737
Tweet_Neutral_Count_Lag2,0.0002748280198271976,0.00019147282,0.0013215489754965332,0.0017521875266297566,0.005638475242344102,0.0004893383282611535,0.0016113084854275088
Daily_Return_Lag7,0.00037072333119977284,0.0023423922,0.0017522593852955777,0.0031449447992793456,0.001374179622827613,0.0004925807211611176,0.0015795133474303157
Tweet_Count_Lag1,0.00046074282833572926,0.0007751233,0.00033216204418954584,0.001694272173564346,0.004395597685558841,0.0004932481665384607,0.0013585243673785578
Tweet_Neutral_Count_Lag3,0.0006023283517769402,0.00022623106,0.0001987835530939154,0.0018507921180763206,0.0031719819008700955,0.00013750217590596198,0.0010312698597971224
