Date,Close,Daily_Return,Volatility_7d,Tweet_Sentiment,News_Sentiment,Event_Type,Sentiment_Aligned
2022-11-10,17586.77,10.742482422148036,8.460246387021563,-0.1289040525754293,0.0,Bull Spike,No
2022-11-14,16618.2,1.6194215626503805,8.066039017520719,0.0123679770363701,0.0199999999999999,Bull Spike,Yes
2022-06-19,20553.27,8.074766374797292,8.043076793245868,0.3179424703121185,0.1191666666666666,Bull Spike,Yes
2022-11-11,17034.29,-3.1414523531040683,7.994691967908586,-0.2071848392486572,0.0018181818181818,Bear Crash,Yes
2022-11-12,16799.19,-1.3801573179745177,7.887113964605401,-0.6615608334541321,-0.058030303030303,Bear Crash,Yes
2022-11-13,16353.37,-2.6538184281503896,7.867268700725538,0.0001357346773147,0.0605555555555555,Bear Crash,No
2022-11-15,16884.61,1.603121878422442,7.496004595969607,-0.0786097475460597,0.0236363636363636,Bull Spike,No
2022-03-04,39137.61,-7.806926398156588,7.122572404810914,-0.0368883117385532,0.0056666666666666,Bear Crash,Yes
2022-03-05,39400.59,0.6719367891907524,7.121457989279035,-0.1647378106911977,0.0433333333333333,Bull Spike,No
2022-03-06,38419.98,-2.4888205988793377,7.0345191084596905,0.199848198890686,0.0048611111111111,Bear Crash,No
