,Random Forest,XGBoost,Gradient Boosting,SVR,Neural Network,LSTM,avg
Return_Std7,1.320798442458827,1.3443024,1.337334786040236,0.45661338992554307,0.7328809878905449,0.00718385424465776,0.8665189794012645
Volatility_30d,0.0013576503300817663,0.0047375527,0.0018051604396893588,0.017626822908238943,0.023553375098905746,0.001456716036207433,0.008422879589029434
News_Neutral_Count_Lag1,0.0005146279755299264,0.00021745938,0.0005215396854727025,0.004752573040424307,0.03541594418499866,0.000836857415988956,0.007043166947542187
News_Neutral_Count,0.00028457205085449154,0.000103369486,4.533109695216002e-06,0.011104236586205121,0.02805431509978775,0.0010069678362174478,0.006759665694821497
News_Neutral_Count_Lag7,0.00034853685847499843,0.000702794,0.00020850438495299644,0.009578173515332666,0.02436643633153692,0.0009511512439891702,0.006025932722543137
News_Positive_Count_Lag1,0.00021780441525986143,0.0003600946,2.3401904599253833e-05,0.0074699347139678025,0.019173094300746155,0.0008692979847686755,0.00468560465204138
Volume,0.0005412114472659641,0.0014773256,7.816224282529255e-05,0.007566032665118807,0.014669873647483981,0.002501794094645256,0.004472399944219157
News_Negative_Count_Lag1,0.00025909307212605833,7.0861075e-05,0.0,0.005478195218385857,0.01883603874548782,0.0015542617051586096,0.004366408302705305
News_Avg_Sentiment,0.0007406766806552774,0.000283,2.3430893478372035e-05,0.012669335047939633,0.008809330044269523,0.0016010463665723084,0.00402113650568888
News_Negative_Count_Lag7,0.0001366536486093427,5.8151163e-05,1.0315900660839825e-08,0.008850696486150073,0.014091653489304128,0.0005194939480921031,0.003942776508526484
News_Negative_Count,0.0002015126750421453,8.6677555e-06,9.021386668562102e-06,0.008873847073145057,0.00944292192928076,0.003420500706346397,0.0036594119210033734
News_Negative_Count_Lag3,0.0002444149978083746,0.0014386995,4.5022057268212235e-06,0.008719211505521213,0.008714019511476337,0.002269883400011523,0.003565121861135724
News_Avg_Sentiment_Lag1,0.0024317347804874555,0.001045251,2.573291040163534e-05,0.009631754046976734,0.005935060356675555,0.0014739562943969606,0.003423914903545981
News_Neutral_Count_Lag2,0.0007634492989092016,1.9333642e-05,0.0003072461551265861,0.005675601667711189,0.00480967998765673,0.00325456198168961,0.002471645455487319
News_Neutral_Count_Lag3,0.00025695159056764286,0.00023791076,7.857829991918821e-06,0.008001066956101907,0.0034932827415544826,0.0021931151332611016,0.0023650308353988154
News_Positive_Count_Lag7,0.00021142762710145869,3.3052245e-05,7.401965051738121e-08,0.006409289767793192,0.00510546408773702,0.0016464546888645764,0.0022342937394030263
