Date,Open,High,Low,Close,Volume,Daily_Return,Volatility_7d,Volatility_30d,Tweet_Sentiment,Tweet_Count,Tweet_Positive,Tweet_Negative,Tweet_Neutral,News_Sentiment,News_Count,News_Positive,News_Negative,News_Neutral,Close_Lag1,Tweet_Sentiment_Lag1,News_Sentiment_Lag1,Return_Lag1,Close_Lag2,Tweet_Sentiment_Lag2,News_Sentiment_Lag2,Return_Lag2,Close_Lag3,Tweet_Sentiment_Lag3,News_Sentiment_Lag3,Return_Lag3,Close_Lag7,Tweet_Sentiment_Lag7,News_Sentiment_Lag7,Return_Lag7,Close_MA7,Close_MA30,Return_Std7,Tweet_Sent_MA7,News_Sent_MA7,Volume_MA7,Price_Range,Price_Range_Pct
2021-12-18,46219.25,47313.83,45598.44,46848.78,26098292690,1.399588850213429,3.781063050488378,3.460269179460812,0.0,2,0,0,2,0.0666666666666666,10,2,0,8,46202.14,-0.2483747005462646,-0.0633333333333333,-3.06991880698444,47665.43,0.7479280233383179,0.0444696969696969,-2.5181443663296887,48896.72,0.4995785355567932,0.1112499999999999,4.900152598126306,47243.3,0.7462381571531296,0.1498214285714285,-0.8995194675630147,47475.09857142857,56621.40633333333,4.21271034348804,0.11663903295993805,0.03467764378478662,30770316228.857143,1715.3899999999994,3.6615467894788285
2021-12-20,46707.06,47401.72,45579.81,46880.28,30961902129,0.3709506622344927,2.6457115920579453,3.370863937837421,0.0,1,0,0,1,0.05,10,1,0,9,46848.78,0.0,0.0666666666666666,1.399588850213429,46202.14,-0.2483747005462646,-0.0633333333333333,-3.06991880698444,47665.43,0.7479280233383179,0.0444696969696969,-2.5181443663296887,49362.51,0.0,0.1208333333333333,4.485736601803847,47120.49428571429,56146.55966666667,3.696574245410107,0.11663903295993805,0.024558596165739,31511178067.142857,1821.9100000000035,3.8863035800980787
2021-12-21,46886.08,49300.92,46698.77,48936.61,27055803928,4.386343255629033,3.0927845682887187,3.493345132566643,0.0,1,0,0,1,0.055,10,1,0,9,46880.28,0.0,0.05,0.3709506622344927,46848.78,0.0,0.0666666666666666,1.399588850213429,46202.14,-0.2483747005462646,-0.0633333333333333,-3.06991880698444,46737.48,-0.2484401315450668,-9.71445146547012e-18,-6.708525671708864,47434.65571428571,55726.86400000001,3.090824406912567,0.15213048032351903,0.032415739022881855,30781046088.857143,2602.1500000000015,5.317389169376468
2021-12-22,48937.1,49544.8,48450.94,48628.51,24447979559,-0.6295899940760075,2.5023654161476063,3.426358925742212,0.0,1,0,0,1,0.1534848484848485,10,6,1,3,48936.61,0.0,0.055,4.386343255629033,46880.28,0.0,0.05,0.3709506622344927,46848.78,0.0,0.0666666666666666,1.399588850213429,46612.63,0.0657815039157867,-0.0371428571428571,-0.2671303630405575,47722.63857142858,55095.58666666667,3.1135224442989538,0.14273312262126378,0.059648268398268374,29325240443.142857,1093.8600000000006,2.2494211728880864
2021-12-23,48626.34,51332.34,48065.84,50784.54,28223878108,4.433674813396493,2.729626572163588,3.5068552591482294,-0.4961441159248352,2,0,1,1,0.076,10,3,0,7,48628.51,0.0,0.1534848484848485,-0.6295899940760075,48936.61,0.0,0.055,4.386343255629033,46880.28,0.0,0.05,0.3709506622344927,48896.72,0.4995785355567932,0.1112499999999999,4.900152598126306,47992.32714285714,54556.01033333333,3.011755102855022,0.0004870295524597247,0.054612554112554106,28136961812.857143,3266.5,6.43207558835819
2021-12-24,50806.05,51814.03,50514.5,50822.2,24367912228,0.0741564263454952,2.1585347197596203,3.4894394508384288,0.6662902235984802,6,4,0,2,0.0728181818181818,10,4,1,5,50784.54,-0.4961441159248352,0.076,4.433674813396493,48628.51,0.0,0.1534848484848485,-0.6295899940760075,48936.61,0.0,0.055,4.386343255629033,47665.43,0.7479280233383179,0.0444696969696969,-2.5181443663296887,48443.294285714284,54083.576,2.7046143810416345,-0.01117551326751709,0.05866233766233766,27722641995.857143,1299.5299999999988,2.557012486669209
2021-12-25,50854.92,51176.6,50236.71,50429.86,19030650914,-0.7719854709162477,2.307871222494121,3.46882714402082,0.0,1,0,0,1,0.1857142857142857,7,2,1,4,50822.2,0.6662902235984802,0.0728181818181818,0.0741564263454952,50784.54,-0.4961441159248352,0.076,4.433674813396493,48628.51,0.0,0.1534848484848485,-0.6295899940760075,46202.14,-0.2483747005462646,-0.0633333333333333,-3.06991880698444,49047.25428571428,53599.57266666667,2.226125742048283,0.024306586810520708,0.09424056895485466,25740917079.42857,939.8899999999994,1.863756909101075
2021-12-27,50802.61,51956.33,50499.47,50640.42,24324345758,-0.3328116463213959,2.2959606138330204,3.2430844777500947,0.2498825192451477,4,1,0,3,0.03,10,1,1,8,50429.86,0.0,0.1857142857142857,-0.7719854709162477,50822.2,0.6662902235984802,0.0728181818181818,0.0741564263454952,50784.54,-0.4961441159248352,0.076,4.433674813396493,46848.78,0.0,0.0666666666666666,1.399588850213429,49588.91714285715,53149.05533333334,2.310915233310491,0.06000408955982752,0.08900247371675943,25487496089.142857,1456.8600000000006,2.876871874285404
2021-12-28,50679.86,50679.86,47414.21,47588.86,33430376883,-6.025937383615688,3.0754993385920653,3.2880420280536544,-0.7484204471111298,4,0,3,1,0.1058333333333333,10,3,2,5,50640.42,0.2498825192451477,0.03,-0.3328116463213959,50429.86,0.0,0.1857142857142857,-0.7719854709162477,50822.2,0.6662902235984802,0.0728181818181818,0.0741564263454952,46880.28,0.0,0.05,0.3709506622344927,49690.142857142855,52553.12266666666,3.5621704373993293,-0.04691311717033387,0.0969786641929499,25840135339.714287,3265.6500000000015,6.862215232724636
2021-12-29,47623.87,48119.74,46201.5,46444.71,30049226299,-2.404239143362541,3.17329537332313,3.2914926585433206,-0.3325933814048766,3,0,1,2,0.05,10,1,0,9,47588.86,-0.7484204471111298,0.1058333333333333,-6.025937383615688,50640.42,0.2498825192451477,0.03,-0.3328116463213959,50429.86,0.0,0.1857142857142857,-0.7719854709162477,48936.61,0.0,0.055,4.386343255629033,49334.15714285714,51982.684,3.1168128973743836,-0.09442645737103053,0.09626437847866419,26267767107.0,1918.239999999998,4.130158203162423
