Model,RMSE,MAE,R2
Random Forest,0.1184,0.0648,0.9855
Random Forest (Tuned),0.1194,0.0648,0.9853
XGBoost,0.1091,0.0752,0.9877
XGBoost (Tuned),0.0954,0.0582,0.9906
Gradient Boosting,0.0774,0.042,0.9938
Gradient Boosting (Tuned),0.0754,0.0407,0.9941
SVR,0.2827,0.2251,0.9173
SVR (Tuned),0.0381,0.0333,0.9985
