Date,Open,High,Low,Close,Volume,Daily_Return,Volatility_7d,Volatility_30d,News_Count,News_Avg_Sentiment,News_Positive_Count,News_Negative_Count,News_Neutral_Count,Close_Lag1,Daily_Return_Lag1,Close_Lag2,Daily_Return_Lag2,Close_Lag3,Daily_Return_Lag3,Close_Lag7,Daily_Return_Lag7,MA7,MA30,Return_Std7,Price_Range,Price_Range_Pct,News_Avg_Sentiment_Lag1,News_Avg_Sentiment_Lag2,News_Avg_Sentiment_Lag3,News_Avg_Sentiment_Lag7,News_Count_Lag1,News_Count_Lag2,News_Count_Lag3,News_Count_Lag7,News_Positive_Count_Lag1,News_Positive_Count_Lag2,News_Positive_Count_Lag3,News_Positive_Count_Lag7,News_Negative_Count_Lag1,News_Negative_Count_Lag2,News_Negative_Count_Lag3,News_Negative_Count_Lag7,News_Neutral_Count_Lag1,News_Neutral_Count_Lag2,News_Neutral_Count_Lag3,News_Neutral_Count_Lag7
2021-01-31,34270.88,34288.33,32270.18,33114.36,52754542671,-3.3708088120288693,5.150282455534675,5.659452413978875,10,0.045,2,0,8,34269.52,-0.1365819656438338,34316.39,2.5407501919853197,33466.1,9.968109803483438,32289.38,0.691475892831539,32933.59428571429,34941.233,5.150282455534676,2018.1500000000015,0.06094485896752954,0.0481481481481481,0.08,0.0143181818181818,0.0183333333333333,9.0,10.0,10.0,10.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,6.0,9.0
2021-02-01,33114.58,34638.21,32384.23,33537.18,61400400660,1.2768478690211804,5.157373102517271,5.412136307592647,10,0.1348863636363636,5,0,5,33114.36,-3.3708088120288693,34269.52,-0.1365819656438338,34316.39,2.5407501919853197,32366.39,0.2384994694849984,33100.85,34988.229999999996,5.157373102517272,2253.9799999999996,0.06720839378862503,0.045,0.0481481481481481,0.08,0.066,10.0,9.0,10.0,10.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0
2021-02-02,33533.2,35896.88,33489.22,35510.29,63088585433,5.883350955566336,5.5278396520196935,5.4998963551579525,10,0.04,2,0,8,33537.18,1.2768478690211804,33114.36,-3.3708088120288693,34269.52,-0.1365819656438338,32569.85,0.6286150540730562,33520.91285714285,35079.17233333333,5.527839652019694,2407.659999999996,0.0678017554911547,0.1348863636363636,0.045,0.0481481481481481,0.1674999999999999,10.0,10.0,9.0,10.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,5.0,8.0,8.0,4.0
2021-02-03,35510.82,37480.19,35443.98,37472.09,61166818159,5.52459582842042,4.41172842798802,5.548793769639988,10,0.1486363636363636,4,1,5,35510.29,5.883350955566336,33537.18,1.2768478690211804,33114.36,-3.3708088120288693,30432.55,-6.562204001553584,34526.561428571425,35262.51166666667,4.411728427988022,2036.2099999999991,0.05433937631981561,0.04,0.1348863636363636,0.045,0.0144444444444444,10.0,10.0,10.0,10.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,9.0
2021-02-04,37475.11,38592.18,36317.5,36926.07,68838074392,-1.4571378324507611,3.4564861530393465,5.45714796260482,10,0.1609999999999999,3,0,7,37472.09,5.52459582842042,35510.29,5.883350955566336,33537.18,1.2768478690211804,33466.1,9.968109803483438,35020.84285714286,35360.299666666666,3.456486153039348,2274.6800000000003,0.06160092314183449,0.1486363636363636,0.04,0.1348863636363636,0.0143181818181818,10.0,10.0,10.0,10.0,4.0,2.0,5.0,3.0,1.0,0.0,0.0,1.0,5.0,8.0,5.0,6.0
2021-02-05,36931.55,38225.91,36658.76,38144.31,58598066402,3.299132564066509,3.5073046616762755,5.280099723855528,10,0.0512121212121212,4,1,5,36926.07,-1.4571378324507611,37472.09,5.52459582842042,35510.29,5.883350955566336,34316.39,2.5407501919853197,35567.688571428575,35404.297999999995,3.507304661676277,1567.1500000000015,0.041084764673944854,0.1609999999999999,0.1486363636363636,0.04,0.08,10.0,10.0,10.0,10.0,3.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0,5.0,8.0,8.0
2021-02-06,38138.39,40846.55,38138.39,39266.01,71326033653,2.9406745068923934,3.4495122369351767,5.155549540735423,10,-0.0238636363636363,3,2,5,38144.31,3.299132564066509,36926.07,-1.4571378324507611,37472.09,5.52459582842042,34269.52,-0.1365819656438338,36281.47285714286,35400.797,3.449512236935178,2708.1600000000035,0.06896957444874087,0.0512121212121212,0.1609999999999999,0.1486363636363636,0.0481481481481481,10.0,10.0,10.0,9.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,7.0,5.0,8.0
2021-02-07,39250.19,39621.84,37446.15,38903.44,65500641143,-0.9233685826494752,2.8917125159362174,5.115708804439118,10,0.0307196969696969,2,0,8,39266.01,2.9406745068923934,38144.31,3.299132564066509,36926.07,-1.4571378324507611,33114.36,-3.3708088120288693,37108.48428571429,35337.658,2.891712515936219,2175.689999999995,0.0559253886031671,-0.0238636363636363,0.0512121212121212,0.1609999999999999,0.045,10.0,10.0,10.0,10.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,5.0,5.0,7.0,8.0
2021-02-08,38886.83,46203.93,38076.32,46196.46,101467222687,18.74646560818272,6.7552023938606505,6.14873412209632,10,-0.0673333333333333,2,2,6,38903.44,-0.9233685826494752,39266.01,2.9406745068923934,38144.31,3.299132564066509,33537.18,1.2768478690211804,38916.95285714285,35535.72166666667,6.755202393860651,8127.610000000001,0.17593577516545642,0.0307196969696969,-0.0238636363636363,0.0512121212121212,0.1348863636363636,10.0,10.0,10.0,10.0,2.0,3.0,4.0,5.0,0.0,2.0,1.0,0.0,8.0,5.0,5.0,5.0
2021-02-09,46184.99,48003.72,45166.96,46481.11,91809846886,0.616172754362565,6.913592988482851,6.065139234799056,10,0.0473863636363636,2,1,7,46196.46,18.74646560818272,38903.44,-0.9233685826494752,39266.01,2.9406745068923934,35510.29,5.883350955566336,40484.212857142855,35806.544,6.913592988482852,2836.760000000002,0.06103038417111816,-0.0673333333333333,0.0307196969696969,-0.0238636363636363,0.04,10.0,10.0,10.0,10.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,6.0,8.0,5.0,8.0
